workerid,button_rt,group_size,thickness,round,correct,correct_tangram,gameId,selected,text,trial_index,rt_sec,condition,trial_order
871,14766,6_player,thick,round_1,1,I,awMBFij9Yo8w2nA5K,I,"[{'role': 'speaker', 'text': 'It kinda looks like someone standing on one leg leaning to the left with one leg sticking out behind them Shape description to follow', 'playerId': 'tFxPDpxwB3TJg5B8c'}, {'role': 'listener', 'text': '2 triangles pointing left under ""the head""', 'playerId': '5gu2PxNMofbCYiqjN'}, {'role': 'speaker', 'text': 'The top is a diamond The diamond sits on top of one triangle, which itself sits on top of another triangle The ""leg"" kicking out behind is two triangles that attach at the points The ""leg"" standing is a rectangle on top of another triangle that points left', 'playerId': 'tFxPDpxwB3TJg5B8c'}, {'role': 'speaker', 'text': 'Yes, triangles pointing left Repi', 'playerId': 'tFxPDpxwB3TJg5B8c'}]",19,14.766,6_thick,9
871,7849,2_player,thin,round_1,1,D,53uTmg2fquiNWgaK9,D,"[{'role': 'speaker', 'text': 'standing', 'playerId': '8TCXBa5TcMjPDEKv6'}, {'role': 'speaker', 'text': 'holding something on left', 'playerId': '8TCXBa5TcMjPDEKv6'}]",21,7.849,2_thin,10
871,7750,2_player,thin,round_1,1,E,jogDrQkpEKFNKDtfk,E,"[{'role': 'speaker', 'text': 'two triangles top of head', 'playerId': 'y3TZknTa3KR3ZJ7uz'}]",23,7.75,2_thin,11
871,17436,6_player,thin,round_1,0,L,PppCQXs7SSfgS4Ygj,K,"[{'role': 'speaker', 'text': 'It looks like a woman wearing a gown, kneeling with her arms out to the right', 'playerId': '8pHKrs9sqvZcoues8'}]",25,17.436,6_thin,12
871,6036,2_player,thin,round_1,1,F,yY6t3ocwkwtpDQevb,F,"[{'role': 'speaker', 'text': 'sitting down', 'playerId': 'JEN6tGRhCXtAToQ5m'}, {'role': 'speaker', 'text': 'facing left', 'playerId': 'JEN6tGRhCXtAToQ5m'}]",27,6.036,2_thin,13
871,27851,6_player,thin,round_1,0,B,qnNnL5JsTPjnv3LW8,H,"[{'role': 'speaker', 'text': 'someone with two pointy shoulders facing towards us', 'playerId': 'GHPXGrJc4hqY2F4dv'}, {'role': 'speaker', 'text': 'two triangle shoulders', 'playerId': 'GHPXGrJc4hqY2F4dv'}, {'role': 'speaker', 'text': 'sitting', 'playerId': 'GHPXGrJc4hqY2F4dv'}]",29,27.851,6_thin,14
871,15165,6_player,thin,round_1,0,D,RBnjoHwwmyq7ojwD7,F,"[{'role': 'speaker', 'text': 'Someone praying but this time to the left', 'playerId': 'h7JqyA9bN55Ztvpnp'}, {'role': 'speaker', 'text': 'with their feet on the ground', 'playerId': 'h7JqyA9bN55Ztvpnp'}, {'role': 'speaker', 'text': 'The book is open', 'playerId': 'h7JqyA9bN55Ztvpnp'}]",31,15.165,6_thin,15
871,12033,6_player,thick,round_6,0,L,G74GhYGrsaxrsfYxf,K,"[{'role': 'speaker', 'text': 'praying person god top left', 'playerId': 'G7t4KfQdMhBApqMvT'}]",33,12.033,6_thick,16
871,42701,6_player,thin,round_6,0,G,7Djg3JQnctbBGbR6q,C,"[{'role': 'speaker', 'text': 'facing right, kneeling , long legs back, head bent back, two triangle arms directing traffic', 'playerId': 'SJZZc5m6KhXZwX2CE'}, {'role': 'speaker', 'text': ""Maybe they're flags"", 'playerId': 'SJZZc5m6KhXZwX2CE'}]",35,42.701,6_thin,17
871,37350,6_player,thick,round_1,1,D,xxh6EZ5ESMvTDboLx,D,"[{'role': 'speaker', 'text': ""arms to the left looks like it's holding something diamond head"", 'playerId': 'ETWC7GktmiQ8Fmtef'}]",37,37.35,6_thick,18
871,23253,2_player,thick,round_6,1,G,wPKShK8DJjFJDPPC2,G,"[{'role': 'speaker', 'text': 'Square shaped ear, dog shaped ear, bottom portion of body pointing left', 'playerId': '7873fQ46q5WbGoifc'}]",39,23.253,2_thick,19
871,24168,6_player,thin,round_1,1,J,vfBNc7APPeQqXwJep,J,"[{'role': 'speaker', 'text': 'square at the top with a square shape in the middle with a point on the right side', 'playerId': 'AbDh35xzSqzppDyPx'}]",41,24.168,6_thin,20
871,13566,6_player,thick,round_6,0,F,eYSrAKh9knoEHcLid,H,"[{'role': 'speaker', 'text': 'Sitting with back to tree', 'playerId': 'mMkdNCbkNosrcwQ6M'}]",43,13.566,6_thick,21
